lambda,time,mu1,mu2,cov11,cov12,cov22
-0.9,7.327327327327327,-1.2946485834553516,1.6795784557851707,0.005148121240578752,-0.002400636803853422,0.02650545417610255
-0.9,7.337337337337337,-1.29512413188259,1.6797061480173014,0.005258992932586519,-0.00240828415212726,0.026429178528776933
-0.9,7.347347347347347,-1.2949065376488054,1.679827326744196,0.0051890657605889005,-0.002458202888306164,0.026416852636622336
-0.9,7.357357357357357,-1.2948957733254989,1.6799055384276322,0.005184673994993731,-0.0024026920580191174,0.026277485214081634
-0.9,7.367367367367367,-1.2948869813426085,1.6800399779538258,0.005131085410001106,-0.002338586727078718,0.026121338058152827
-0.9,7.377377377377377,-1.2945642403066282,1.6803750706986087,0.0052202516409007955,-0.0023362945784557885,0.026261837912694527
-0.9,7.387387387387387,-1.294413504956048,1.680131334684811,0.005316836761452949,-0.0023679720900903365,0.026337342394073135
-0.9,7.397397397397397,-1.2946260023099545,1.6797462235368377,0.005294445087567321,-0.002312921902108729,0.02640509170666752
-0.9,7.407407407407407,-1.2946383667214276,1.679760697839674,0.0052801068920977304,-0.0022547965140144346,0.026491420329942124
-0.9,7.4174174174174174,-1.2943595229074907,1.6793080195711352,0.005325567039745508,-0.002290405077434459,0.026581731823603644
-0.9,7.4274274274274275,-1.2940071647980855,1.6793648483473997,0.005299546405528445,-0.0022975716738430504,0.02663138720500781
-0.9,7.4374374374374375,-1.2939724785701918,1.6799873602472988,0.005330593647540738,-0.0023630443047396622,0.02657381298864
-0.9,7.4474474474474475,-1.2941478755415752,1.6801048101351164,0.005332387607308842,-0.0023552314714980344,0.02661348178496344
-0.9,7.4574574574574575,-1.2941261071118542,1.6798653729774273,0.005264265490959424,-0.0023952451040858604,0.02667646159099856
-0.9,7.4674674674674675,-1.294302952459384,1.6799732050532283,0.005206022508454188,-0.002382637647815939,0.026671945615034026
-0.9,7.4774774774774775,-1.2948220490993523,1.6800046582634216,0.005247067719945762,-0.0023704811165368256,0.026638381909616864
-0.9,7.4874874874874875,-1.294697547677954,1.679751461704708,0.005169419110590617,-0.002386462055599129,0.026677300421671393
